Operation
60
60
60
60
60
60
60
60
60
60
43
11
51
53
38
46
53
55
37
31
54
58
56
52
53
44
52
49
50
47
55
42
57
53
48
54
48
58
45
39
57
56
43
45
39
40
53
49
36
51
47
46
54
51
41
52
47
44
50
49
29
32
22
52
50
54
54
54
56
51
35
45
53
38
41
38
20
25
42
27
42
47
56
49
32
53
56
41
56
57
50
39
27
47
50
44
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
40
35
48
53
29
11
34
43
43
51
43
45
35
44
43
50
40
54
56
45
55
47
57
30
52
35
48
10
51
35
50
29
52
53
56
48
42
32
47
39
46
44
10
6
4
6
7
41
56
47
49
53
56
51
50
47
49
46
37
38
41
55
47
43
47
55
51
49
23
55
55
34
52
4
49
33
33
38
36
25
52
41
42
53
54
39
44
44
45
53
56
54
45
36
31
32
45
34
55
9
37
28
45
45
42
37
44
54
35
41
40
19
47
42
51
52
49
32
28
29
8
37
50
11
7
33
47
19
34
40
38
2
55
33
48
45
52
51
57
52
21
40
54
43
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
13
38
39
5
36
46
56
50
40
53
49
48
43
41
49
45
39
40
42
60
50
49
41
24
38
35
27
10
51
29
46
46
51
38
36
24
52
55
45
50
17
28
16
29
40
48
49
32
28
30
44
13
50
37
46
49
52
22
35
55
53
47
58
37
40
54
54
48
18
8
37
15
54
33
38
37
19
50
48
34
38
54
45
54
47
53
54
44
42
55
46
46
51
50
51
35
1
1
1
1
1
1
1
1
6
26
1
1
1
1
1
1
40
44
53
45
11
39
46
42
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
17
37
44
25
40
30
46
31
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
26
51
52
45
44
11
52
34
47
17
41
19
35
23
45
31
42
37
45
45
9
34
52
38
52
34
43
45
16
27
38
44
46
45
48
40
41
22
34
33
23
28
45
51
49
48
51
37
42
34
25
2
1
1
16
29
47
49
55
57
53
43
29
45
52
48
44
21
55
35
37
30
47
17
3
1
1
5
8
4
54
51
56
40
51
45
49
50
47
43
49
55
52
38
27
47
50
37
53
51
38
36
40
43
27
51
53
31
48
40
34
39
49
54
50
40
47
57
52
45
44
56
35
56
57
45
14
52
48
47
41
46
53
32
43
45
53
59
49
52
56
55
47
51
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
49
37
49
10
53
35
47
47
40
51
45
40
41
53
45
48
52
57
49
33
39
47
50
46
43
37
48
53
51
36
27
43
57
52
53
53
47
53
58
52
43
54
50
8
43
53
55
51
46
