Operation
60
60
60
60
60
60
60
60
60
60
55
56
50
58
48
34
39
57
53
59
54
57
54
58
59
54
40
21
9
44
37
34
56
58
47
56
49
42
53
52
52
46
52
60
54
39
45
40
44
29
28
37
23
33
27
23
41
53
52
57
53
50
50
35
57
40
48
49
29
35
46
33
49
40
38
24
45
35
35
22
34
39
49
50
46
44
49
44
58
57
56
48
52
43
59
44
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
46
41
30
30
1
33
36
33
50
54
53
56
50
51
55
53
57
56
53
59
53
40
52
46
57
54
49
31
55
43
23
33
52
54
56
59
55
58
58
58
57
54
49
51
51
45
44
43
59
60
59
57
54
52
44
22
58
59
58
59
55
60
52
51
45
49
50
52
43
48
47
27
51
50
49
31
46
45
56
5
27
5
40
35
32
28
42
31
35
43
34
42
53
49
37
39
14
26
60
51
50
44
51
40
56
54
52
54
59
58
55
46
56
60
38
39
46
36
45
33
56
48
14
1
34
17
11
16
58
56
55
55
35
37
53
43
51
44
15
37
47
51
33
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
47
26
54
13
56
50
45
25
46
51
34
56
41
38
42
48
30
53
47
48
31
43
38
18
47
58
49
1
36
49
55
25
53
50
35
49
52
38
29
25
47
56
54
35
47
49
54
44
51
54
54
9
59
51
56
57
40
33
30
45
27
46
40
33
59
53
33
38
44
41
52
28
41
56
48
17
53
51
54
2
51
53
56
56
39
34
51
36
56
55
53
57
59
51
54
38
1
1
1
1
1
1
1
1
34
52
29
43
45
35
40
38
51
50
13
31
47
43
1
17
1
1
1
1
1
1
1
1
24
4
10
5
1
1
8
47
46
4
2
1
2
21
41
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
49
51
47
54
41
22
49
9
56
57
51
57
47
54
55
38
1
1
1
1
1
1
1
1
44
54
53
49
52
49
51
27
39
59
53
48
43
43
52
35
1
1
1
1
1
1
1
1
41
59
57
58
55
49
35
48
47
37
34
24
52
45
46
38
50
46
37
52
38
46
48
44
50
51
51
52
41
41
42
33
45
46
54
28
38
49
37
42
51
50
35
56
26
26
53
47
31
30
46
48
31
31
40
23
45
29
7
48
44
50
42
38
48
42
36
34
48
39
42
44
55
50
43
48
27
36
22
44
32
51
44
49
39
55
50
45
40
43
45
35
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
44
44
50
30
19
44
33
38
57
52
46
50
57
49
50
31
59
53
47
52
56
45
54
48
55
52
55
46
55
9
36
17
56
11
22
6
35
36
57
45
52
59
50
54
51
44
57
46
54
54
50
54
56
55
54
